age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
28,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
36,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
23,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
45,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,<=50K
27,Self-emp-inc,HS-grad,Never-married,Craft-repair,Other-relative,Male,Mexico,<=50K
20,Private,11th,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
28,Federal-gov,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
61,Self-emp-inc,Masters,Widowed,Exec-managerial,Unmarried,Female,United-States,<=50K
25,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
31,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Male,United-States,<=50K
31,Self-emp-not-inc,HS-grad,Never-married,Other-service,Unmarried,Female,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,Mexico,>50K
22,Private,12th,Never-married,Protective-serv,Own-child,Male,United-States,<=50K
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
24,Private,11th,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,Female,United-States,<=50K
29,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,Japan,<=50K
32,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
63,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
62,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,Canada,>50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
29,Private,9th,Never-married,Sales,Not-in-family,Female,United-States,<=50K
50,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
56,Private,9th,Divorced,Protective-serv,Not-in-family,Male,United-States,<=50K
36,Private,HS-grad,Never-married,Other-service,Own-child,Male,United-States,<=50K
23,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
34,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,Male,Guatemala,<=50K
31,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
68,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
36,Private,Assoc-acdm,Never-married,Tech-support,Unmarried,Female,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,Guatemala,<=50K
52,Private,Masters,Divorced,Prof-specialty,Not-in-family,Female,United-States,<=50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
27,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
33,Private,Bachelors,Divorced,Prof-specialty,Unmarried,Female,Germany,<=50K
38,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Sales,Own-child,Female,Mexico,<=50K
63,Private,12th,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
35,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
47,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
49,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
29,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
18,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
52,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
31,Private,Assoc-voc,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
45,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,United-States,<=50K
32,Private,HS-grad,Divorced,Craft-repair,Own-child,Male,United-States,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
27,Private,HS-grad,Separated,Craft-repair,Unmarried,Male,United-States,<=50K
23,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,Male,United-States,<=50K
44,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
32,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
34,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Tech-support,Own-child,Female,United-States,<=50K
22,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
38,Private,HS-grad,Separated,Adm-clerical,Not-in-family,Female,United-States,<=50K
28,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,Dominican-Republic,<=50K
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
47,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
45,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
22,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
53,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,Male,United-States,<=50K
43,Federal-gov,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
28,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,Female,United-States,<=50K
47,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
22,State-gov,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
46,Private,Bachelors,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
55,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
30,Private,Assoc-voc,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
47,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
34,Private,Assoc-acdm,Divorced,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
59,Private,10th,Married-spouse-absent,Protective-serv,Not-in-family,Male,India,<=50K
60,Local-gov,Assoc-voc,Widowed,Adm-clerical,Not-in-family,Female,United-States,<=50K
62,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
30,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
49,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,France,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
22,Without-pay,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
52,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
26,Private,Some-college,Never-married,Protective-serv,Not-in-family,Male,Philippines,<=50K
26,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
33,Private,Some-college,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
60,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
30,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
57,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
36,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
18,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,Male,United-States,<=50K
55,Private,10th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
21,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
37,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
63,Self-emp-not-inc,5th-6th,Never-married,Sales,Not-in-family,Female,United-States,<=50K
31,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
24,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
56,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
36,Private,12th,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
81,Private,Prof-school,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,>50K
41,Self-emp-not-inc,12th,Divorced,Craft-repair,Unmarried,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
32,Private,Bachelors,Never-married,Prof-specialty,Unmarried,Female,United-States,<=50K
36,Private,Assoc-voc,Never-married,Prof-specialty,Unmarried,Female,United-States,<=50K
59,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
27,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
73,Private,7th-8th,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
26,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Male,United-States,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
53,Self-emp-not-inc,Bachelors,Never-married,Sales,Unmarried,Male,United-States,>50K
47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
41,Private,10th,Never-married,Handlers-cleaners,Unmarried,Male,United-States,<=50K
52,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
40,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Male,United-States,<=50K
21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
43,Private,5th-6th,Never-married,Machine-op-inspct,Unmarried,Female,Mexico,<=50K
64,Private,7th-8th,Separated,Priv-house-serv,Not-in-family,Female,Mexico,<=50K
35,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
45,Private,Assoc-voc,Divorced,Other-service,Not-in-family,Male,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
32,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
24,Private,Some-college,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
51,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
56,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
52,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,United-States,>50K
27,Private,11th,Married-spouse-absent,Sales,Own-child,Male,India,<=50K
64,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,Mexico,<=50K
17,Private,11th,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
36,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
25,Private,HS-grad,Never-married,Other-service,Unmarried,Female,Thailand,<=50K
33,Private,Assoc-voc,Never-married,Sales,Other-relative,Female,El-Salvador,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Female,United-States,<=50K
17,Private,11th,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
18,Private,5th-6th,Never-married,Handlers-cleaners,Other-relative,Male,Honduras,<=50K
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
49,Self-emp-not-inc,10th,Divorced,Farming-fishing,Unmarried,Male,United-States,<=50K
48,Private,Some-college,Widowed,Adm-clerical,Not-in-family,Female,United-States,<=50K
54,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
38,Self-emp-inc,Some-college,Divorced,Prof-specialty,Not-in-family,Male,United-States,<=50K
31,Private,9th,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
61,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
19,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
45,Local-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
47,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
37,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
57,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
49,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Unmarried,Male,Canada,>50K
56,Private,HS-grad,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
19,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
35,Federal-gov,Bachelors,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,Italy,>50K
36,Private,Some-college,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
29,Federal-gov,Some-college,Never-married,Armed-Forces,Not-in-family,Male,United-States,<=50K
33,Private,10th,Never-married,Handlers-cleaners,Unmarried,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
32,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,>50K
